Ticker,YahooTicker,YFinanceSector,YFinanceIndustry,MarketCap,SharesOutstanding,BookToPrice,EarningsYield,Leverage,DividendYield,RevenueGrowth,DataSource,WikiSector,WikiIndustry,CIK,Sector,Industry
A,A,Healthcare,Diagnostics & Research,32654696448.0,282602317.0,0.21147555162868956,0.039203807875378624,0.5139,0.88,0.07,yfinance_info+wikipedia_sp500,,,,Healthcare,Diagnostics & Research
AAPL,AAPL,Technology,Consumer Electronics,3979469914112.0,14681140000.0,0.02212794243548543,0.029107946580092966,1.0263,0.38,0.157,yfinance_info+wikipedia_sp500,,,,Technology,Consumer Electronics
ABBV,ABBV,Healthcare,Drug Manufacturers - General,351470780416.0,1768762377.0,,0.01187660409642192,,0.0348,0.1,yfinance_info+wikipedia_sp500,,,,Healthcare,Drug Manufacturers - General
ABNB,ABNB,Consumer Cyclical,Travel Services,85622595584.0,423573275.0,0.09536478508448987,0.02821733650749195,0.27698,,0.12,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Travel Services
ABT,ABT,Healthcare,Medical Devices,158355046400.0,1737674869.0,0.329397581233561,0.039174805223307366,0.26787,0.0277,0.078,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Devices
ACGL,ACGL,Financial Services,Insurance - Diversified,34269884416.0,356272841.0,0.6796028618348353,0.12059465640919015,0.11919,,0.085,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Diversified
ACN,ACN,Technology,Information Technology Services,109769015296.0,613939268.0,0.28460418303259305,0.0684009867683337,0.25469,0.0366,0.083,yfinance_info+wikipedia_sp500,,,,Technology,Information Technology Services
ADBE,ADBE,Technology,Software - Application,99206848512.0,404200000.0,0.11473272609890718,0.06991525423728814,0.5834,,0.12,yfinance_info+wikipedia_sp500,,,,Technology,Software - Application
ADI,ADI,Technology,Semiconductors,195071737856.0,488204157.0,0.1732036915249182,0.013689716445178567,0.25753,0.0102,0.304,yfinance_info+wikipedia_sp500,,,,Technology,Semiconductors
ADM,ADM,Consumer Defensive,Farm Products,33361600512.0,481895100.0,0.6840964874313347,0.0322114690163224,0.42375999999999997,0.03,-0.137,yfinance_info+wikipedia_sp500,,,,Consumer Defensive,Farm Products
ADP,ADP,Technology,Software - Application,79131697152.0,402644364.0,0.08072050476791805,0.05301989518139724,0.70044,0.0346,0.062,yfinance_info+wikipedia_sp500,,,,Technology,Software - Application
ADSK,ADSK,Technology,Software - Application,50099838976.0,211000000.0,0.060491068917111875,0.021984501347708893,0.8978700000000001,,0.194,yfinance_info+wikipedia_sp500,,,,Technology,Software - Application
AEE,AEE,Utilities,Utilities - Regulated Electric,30741706752.0,276653219.0,0.4363210958501021,0.048056155507559394,1.47125,0.027000000000000003,-0.088,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Regulated Electric
AEP,AEP,Utilities,Utilities - Regulated Electric,73234300928.0,543563480.0,0.4273064732187591,0.04943219772879092,1.54237,0.0282,0.132,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Regulated Electric
AES,AES,Utilities,Utilities - Diversified,10332407808.0,713071623.0,0.3937198223599157,0.0904071773636991,2.59393,0.048600000000000004,0.047,yfinance_info+wikipedia_sp500,,,,Utilities,Utilities - Diversified
AFL,AFL,Financial Services,Insurance - Life,59050356736.0,515183672.0,0.4960303189603919,0.05950095969289827,0.42682000000000003,0.0213,-0.099,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Life
AIG,AIG,Financial Services,Insurance - Diversified,40189890560.0,534866770.0,1.0173143856494378,0.07226510513707746,0.24408000000000002,0.024,-0.072,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Diversified
AIZ,AIZ,Financial Services,Insurance - Property & Casualty,11441051648.0,49786997.0,0.5131418448752704,0.07371627502175805,0.38844999999999996,0.0146,0.079,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Property & Casualty
AJG,AJG,Financial Services,Insurance Brokers,55374200832.0,256888062.0,0.42131578098084504,0.02669700065001393,0.58354,0.013000000000000001,0.367,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance Brokers
AKAM,AKAM,Technology,Software - Infrastructure,14022994944.0,147223048.0,0.3611023704276225,0.03223097112860892,1.14024,,0.074,yfinance_info+wikipedia_sp500,,,,Technology,Software - Infrastructure
ALB,ALB,Basic Materials,Specialty Chemicals,22201636864.0,117886887.0,0.3292040609559507,-0.030584612117028617,0.33954,0.86,0.159,yfinance_info+wikipedia_sp500,,,,Basic Materials,Specialty Chemicals
ALGN,ALGN,Healthcare,Medical Instruments & Supplies,13579351040.0,71617275.0,0.29924053052593047,0.029798006434259797,0.02826,,0.053,yfinance_info+wikipedia_sp500,,,,Healthcare,Medical Instruments & Supplies
ALL,ALL,Financial Services,Insurance - Property & Casualty,54971432960.0,258227312.0,0.5168874628997563,0.1787861706125517,0.25091,0.0203,0.051,yfinance_info+wikipedia_sp500,,,,Financial Services,Insurance - Property & Casualty
ALLE,ALLE,Industrials,Security & Protection Services,12555213824.0,85935755.0,0.16442847449328776,0.05092402464065709,1.04,0.014499999999999999,0.093,yfinance_info+wikipedia_sp500,,,,Industrials,Security & Protection Services
AMAT,AMAT,Technology,Semiconductor Equipment & Materials,330967056384.0,793609867.0,0.06561720693140803,0.02340303088432764,0.33108,0.51,-0.021,yfinance_info+wikipedia_sp500,,,,Technology,Semiconductor Equipment & Materials
AMCR,AMCR,Consumer Cyclical,Packaging & Containers,17996681216.0,462045690.0,0.6465725287238229,0.03414634146341464,1.38731,0.0668,0.681,yfinance_info+wikipedia_sp500,,,,Consumer Cyclical,Packaging & Containers
AMD,AMD,Technology,Semiconductors,567073177600.0,1630338779.0,0.11112390270702271,0.007504097064489232,0.06359,,0.341,yfinance_info+wikipedia_sp500,,,,Technology,Semiconductors
AME,AME,Industrials,Specialty Industrial Machinery,53360791552.0,229065429.0,0.19921013182730474,0.02751663447091651,0.24194,0.58,0.134,yfinance_info+wikipedia_sp500,,,,Industrials,Specialty Industrial Machinery
AMGN,AMGN,Healthcare,Drug Manufacturers - General,185735757824.0,539067675.0,0.04663764499294046,0.04130024669859236,6.40275,0.029300000000000003,0.086,yfinance_info+wikipedia_sp500,,,,Healthcare,Drug Manufacturers - General
AMP,AMP,Financial Services,Asset Management,41817210880.0,90100000.0,0.154613044059337,0.08650779970697232,0.5278499999999999,0.0147,0.09,yfinance_info+wikipedia_sp500,,,,Financial Services,Asset Management
