Portfolio,horizon_days,confidence,threshold_return
Original,1,0.95,-0.029273912890547125
Original,1,0.99,-0.05878511399321251
Original,5,0.95,-0.05029535579574918
Original,5,0.99,-0.12482436855706511
Original,10,0.95,-0.06222349294005094
Original,10,0.99,-0.1734667867868706
Original,21,0.95,-0.0954354433820457
Original,21,0.99,-0.15245434866512983
Minimum_TE,1,0.95,-0.0233159332651528
Minimum_TE,1,0.99,-0.03815715840913329
Minimum_TE,5,0.95,-0.037793436227976755
Minimum_TE,5,0.99,-0.09981291675995131
Minimum_TE,10,0.95,-0.027979111027951784
Minimum_TE,10,0.99,-0.1253654304373753
Minimum_TE,21,0.95,-0.04506926493317616
Minimum_TE,21,0.99,-0.1029927265315819
MVO,1,0.95,-0.02583595283735395
MVO,1,0.99,-0.06068117013423508
MVO,5,0.95,-0.044673568011970914
MVO,5,0.99,-0.14077436090667575
MVO,10,0.95,-0.06472683728248814
MVO,10,0.99,-0.18011166851808078
MVO,21,0.95,-0.09999041395281354
MVO,21,0.99,-0.15719347260604952
