Factor,Proxy Active Variance Contribution Daily,Proxy Active Variance Contribution Pct
Market,3.682100830532575e-06,0.0539244557647742
Sector_Basic_Materials,7.326768156401226e-06,0.10730069694790745
Sector_Communication_Services,-1.4365734034397165e-06,-0.0210386522564162
Sector_Consumer_Cyclical,-2.8533405806894332e-06,-0.04178724185099723
Sector_Consumer_Defensive,-2.7410118444744027e-06,-0.0401421847909318
Sector_Energy,3.4264871423566113e-06,0.05018098711594802
Sector_Financial_Services,-6.493685692174585e-06,-0.09510018409989265
Sector_Healthcare,-5.571100157533865e-06,-0.08158889661981615
Sector_Industrials,1.9827204361993743e-05,0.29036988767165994
Sector_Real_Estate,-2.6727962968464233e-06,-0.039143166445200404
Sector_Technology,1.0015648992491837e-05,0.14667942185956206
Sector_Utilities,4.3684859360843115e-06,0.06397658224512671
Size,5.328519169145119e-06,0.07803629217474665
Nonlinear_Size,4.282892057994066e-08,0.0006272305782924446
Momentum,3.1338420960943415e-06,0.04589519333184147
Residual_Volatility,2.3841342793242304e-06,0.03491570421337594
Liquidity,1.501025164015639e-07,0.0021982549849691893
Book_to_Price,-6.560242784414964e-09,-9.607491432634036e-05
Earnings_Yield,-2.5794561043771144e-07,-0.003777619706778693
Leverage,2.34481306589752e-08,0.000343398440912241
Dividend_Yield,3.1630271286436305e-06,0.046322608839762254
