Ticker,Weight,Total Variance Contribution Daily,Total Risk Contribution Annual,Total Variance Contribution Pct
KEYS,0.1,3.0504478125743134e-05,0.029337532013987835,0.111965187787658
APH,0.09999999999999999,3.023982944089871e-05,0.029083007441166805,0.11099380779635908
CAT,0.1,2.734348781975404e-05,0.02629746511247938,0.10036292821953391
AES,0.08898409521040018,2.470245310902829e-05,0.023757462950941593,0.09066914011008964
CHRW,0.1,2.0066226219249002e-05,0.01929859451063132,0.07365209716313112
GLW,0.06472779209873537,1.975277729753078e-05,0.018997136549680407,0.07250159830072304
HII,0.1,1.938030772281404e-05,0.018638915765589462,0.07113446703211253
FITB,0.1,1.9235259207016773e-05,0.018499416067930558,0.07060207358343207
NEM,0.08159616760844096,1.5526542988841163e-05,0.014932576460545136,0.05698941297316146
AMD,0.02854592577371418,1.2276396702613363e-05,0.011806764232933756,0.04505991076123041
MPWR,0.026320913011598748,1.1847857385458436e-05,0.011394618649440713,0.043486978258603724
APP,0.020085296391279702,8.957231896879468e-06,0.008614573783173436,0.03287707946543595
INTC,0.022750953214653778,7.713669786755073e-06,0.0074185840315451924,0.02831264585631968
ALB,0.020534176598243616,7.613702841199925e-06,0.007322441312647481,0.02794572209563436
CEG,0.018469649659690675,6.881715426597581e-06,0.0066184560118266915,0.02525899826458514
GEV,0.012308971837804893,4.378460930140762e-06,0.004210963294651356,0.01607092566026947
LRCX,0.007909233291025832,3.2515543433049467e-06,0.0031271664195896202,0.011934670416232349
FCX,0.007766825304412085,2.774143193982134e-06,0.0026680185915442414,0.010182356255488181
SNDK,2.9932041355670843e-18,1.7100090925150694e-21,1.6445928459773962e-18,6.276504333980902e-18
STX,2.9156833119193795e-18,1.0638259247019063e-21,1.0231293580765715e-18,3.90472077383642e-18
CIEN,1.154005161523217e-18,4.609165370147663e-22,4.432842156717832e-19,1.6917714969115905e-18
WDC,0.0,0.0,0.0,0.0
TER,0.0,0.0,0.0,0.0
FIX,0.0,0.0,0.0,0.0
MU,0.0,0.0,0.0,0.0
