Factor,Proxy Active Variance Contribution Daily,Proxy Active Variance Contribution Pct
Market,2.468201041646439e-05,0.10844632434770968
Sector_Basic_Materials,2.303608225325418e-05,0.10121454474674745
Sector_Communication_Services,-2.901388210207428e-05,-0.12747944012408668
Sector_Consumer_Cyclical,-4.9234420155499486e-05,-0.21632321707850355
Sector_Consumer_Defensive,-5.19183843630056e-05,-0.22811585665986817
Sector_Energy,9.55704513484251e-06,0.04199116680574256
Sector_Financial_Services,-7.311800023800169e-05,-0.32126144652207383
Sector_Healthcare,-2.690917251260698e-05,-0.1182318944442238
Sector_Industrials,8.632782605961057e-05,0.37930198015183625
Sector_Real_Estate,-3.883851009419078e-05,-0.17064629630197475
Sector_Technology,0.00021505581191096976,0.9448992176018159
Sector_Utilities,2.4528135534489718e-05,0.10777023819921427
Size,-4.792665362614145e-06,-0.021057723160889056
Nonlinear_Size,6.112651041663239e-06,0.02685739639127558
Momentum,3.046541099430138e-05,0.1338570799674573
Residual_Volatility,-8.672907630697454e-07,-0.0038106496921698975
Liquidity,4.4582771124905487e-07,0.0019588508294713616
Book_to_Price,-2.4475137242748542e-06,-0.010753737751084003
Earnings_Yield,4.863220260182755e-06,0.02136772300194499
Leverage,3.5634622556910635e-07,0.0015656924904452374
Dividend_Yield,2.3117314280522843e-05,0.10157145711441759
