Ticker,Weight,Proxy Weight,Active Weight,Proxy TE Variance Contribution Daily,MCAR to TE,Proxy TE Contribution Daily,Proxy TE Variance Contribution Pct
SNDK,0.09999999999999508,0.0016040100250626277,0.09839598997493246,6.771922907135419e-05,0.04488788655533985,0.0044167880354951256,0.2975406523428943
WDC,0.0999999999999988,0.0016040100250626277,0.09839598997493618,4.307995201600692e-05,0.028555670603786176,0.0028097634784577242,0.18928208725231074
STX,0.09999999999999976,0.0015037593984962136,0.09849624060150354,3.924936638692882e-05,0.02601655585725817,0.002562532945338957,0.1724514918282211
MU,0.09999999999999797,0.007919799498746926,0.09208020050125104,3.780947044717819e-05,0.025062116675340078,0.0023077247284510613,0.1661249641477618
FIX,0.09801113110268533,0.0009022556390977282,0.09710887546358761,3.128985733593404e-05,0.02116144570857413,0.002054964195943396,0.13747948243238525
GLW,0.09999999999999976,0.0020050125313282848,0.09799498746867147,2.4670417140469078e-05,0.016352857246903843,0.0016024980409873155,0.10839538651292124
NEM,0.084168973618843,0.002406015037593942,0.08176295858124906,1.3846998989197101e-05,0.010904877265230548,0.0008916150281706498,0.06084010655076871
HII,0.09999999999999976,0.00030075187969924274,0.09969924812030051,1.1727250423219618e-05,0.007773441809989467,0.0007750063037628577,0.051526483525626346
CHRW,0.09999999999999976,0.0004010025062656569,0.0995989974937341,9.152281088936615e-06,0.006066615950542959,0.0006042288668535755,0.04021273902510597
FITB,0.09999999999999976,0.0008020050125313138,0.09919799498746844,6.941436278201011e-06,0.004601151083079836,0.00045642496207593853,0.030498862830176925
CIEN,0.008327272254925402,0.0008020050125313138,0.007525267242394088,2.4496470187756678e-06,0.019499249586027785,0.00014673706416100136,0.010763110891418232
KEYS,0.009492623023547161,0.0009022556390977282,0.008590367384449432,1.392616116683518e-06,0.009724389269119452,8.353607641113379e-05,0.0061187924538337645
APH,3.013314910964401e-15,0.003007518796992427,-0.003007518796989414,5.736904448051261e-19,0.012619735385366065,-3.7954091384520884e-05,2.5206463737256034e-15
MPWR,1.4381237298891626e-15,0.0009022556390977282,-0.0009022556390962901,3.410779730154227e-19,0.015720797502234703,-1.4184178197482134e-05,1.4986077659547634e-15
CAT,1.9765945459164718e-15,0.00591478696741854,-0.0059147869674165635,3.20130600825761e-19,0.010735610583177955,-6.34988495646403e-05,1.4065704691389047e-15
CEG,1.1125744614716226e-15,0.0017042606516290422,-0.0017042606516279295,2.4722147911440547e-19,0.014729034060479164,-2.510211318576219e-05,1.0862267804521016e-15
LRCX,4.453753840184471e-16,0.005012531328320812,-0.005012531328320367,1.2151991294403605e-19,0.01808582784791535,-9.065577868628462e-05,5.339268427276733e-16
GEV,4.73830739208623e-16,0.004010025062656669,-0.004010025062656196,1.079276821517186e-19,0.015098255532462152,-6.0544383087560794e-05,4.74206121269371e-16
AMD,0.0,0.005513784461152883,-0.005513784461152883,0.0,0.01431219001222284,-7.891433089446178e-05,0.0
APP,0.0,0.0020050125313282848,-0.0020050125313282848,0.0,0.013438640098482732,-2.6944641801468655e-05,0.0
FCX,0.0,0.0017042606516290422,-0.0017042606516290422,0.0,0.012845612566835191,-2.1892272043728754e-05,0.0
ALB,0.0,0.0004010025062656569,-0.0004010025062656569,0.0,0.012008806723132696,-4.815561593236082e-06,0.0
AES,0.0,0.00020050125313282846,-0.00020050125313282846,0.0,0.006363214520204239,-1.2758324852539597e-06,0.0
TER,0.0,0.0009022556390977282,-0.0009022556390977282,0.0,0.01974283534660404,-1.781308452325145e-05,0.0
INTC,0.0,0.0035087719298245983,-0.0035087719298245983,0.0,0.012589277269037047,-4.417290269837607e-05,0.0
