Factor,Proxy Active Variance Contribution Daily,Proxy Active Variance Contribution Pct
Market,4.733236943511134e-05,0.2644919220934567
Sector_Basic_Materials,1.631606284957821e-05,0.09117369097692693
Sector_Communication_Services,-1.0169219349539109e-05,-0.05682530589635679
Sector_Consumer_Cyclical,-2.3228859903163e-05,-0.12980220253393185
Sector_Consumer_Defensive,-2.9789344371017456e-05,-0.16646200147228626
Sector_Energy,6.6672117127411526e-06,0.03725618772000035
Sector_Financial_Services,-4.468443522307042e-05,-0.249695341705064
Sector_Healthcare,-2.334117150916939e-05,-0.13042979656525872
Sector_Industrials,4.232584896229255e-05,0.23651562936483198
Sector_Real_Estate,-2.2150414461254145e-05,-0.12377588035298885
Sector_Technology,0.00014082080247320662,0.7869026030472122
Sector_Utilities,1.5730572385020498e-05,0.08790198706295836
Size,-4.753988056242471e-06,-0.026565148831788024
Nonlinear_Size,8.11886360740128e-06,0.04536797684890986
Momentum,1.2211343532596757e-05,0.06823663722788696
Residual_Volatility,5.708987683702834e-06,0.031901659344151144
Liquidity,-2.7954308474799345e-06,-0.015620787354474624
Book_to_Price,-1.1245833857409819e-06,-0.006284139687043745
Earnings_Yield,3.4563906553198165e-06,0.019314211792939583
Leverage,2.0777346954729635e-08,0.00011610321852982349
Dividend_Yield,1.9533260301291207e-05,0.10915129801230436
