Portfolio,Ticker,Weight,Total Variance Contribution Daily,Total Risk Contribution Annual,Total Variance Contribution Pct
Original,SNDK,0.04,3.7540811391475604e-05,0.026375066960927188,0.07353311196417543
Original,MU,0.04,2.8921500565919992e-05,0.02031939336851531,0.05665002594399612
Original,WDC,0.04,2.7245534159176164e-05,0.019141908797359494,0.05336722461745701
Original,APP,0.04,2.688933079625667e-05,0.018891650819428778,0.052669510828204105
Original,TER,0.04,2.58600454470956e-05,0.0181685052879449,0.05065339684404732
Original,MPWR,0.04,2.5825866472404467e-05,0.018144492148305113,0.05058644873398717
Original,AMD,0.04,2.5295944144525532e-05,0.017772184348770682,0.049548462701615836
Original,CIEN,0.04,2.5176812292331028e-05,0.017688485822757394,0.04931511303491398
Original,LRCX,0.04,2.4850897208420047e-05,0.017459507496421056,0.048676726450614376
Original,STX,0.04,2.369432314269021e-05,0.01664693266657007,0.046411285531309014
Original,FIX,0.04,2.3538449465037113e-05,0.016537420417549263,0.046105967767353186
Original,CEG,0.04,2.2118232749553613e-05,0.015539618037113474,0.04332411647319721
Original,GEV,0.04,2.100808006163136e-05,0.014759657498289011,0.04114960348659581
Original,ALB,0.04,2.0735006210033878e-05,0.014567803863425986,0.040614719733162455
Original,FCX,0.04,1.9994695247961685e-05,0.014047683214115881,0.03916463469651559
Original,INTC,0.04,1.9846317086058114e-05,0.013943437093409106,0.03887399878354831
Original,GLW,0.04,1.730133170789995e-05,0.012155405421330116,0.03388900544369238
Original,APH,0.04,1.6866650738475886e-05,0.011850011391466294,0.033037573543085834
Original,KEYS,0.04,1.560413662328092e-05,0.010963006207157885,0.030564622417419335
Original,CAT,0.04,1.450149304969188e-05,0.01018832135061132,0.02840481791804955
Original,AES,0.04,1.308084995252395e-05,0.009190219406978546,0.025622131448227985
Original,NEM,0.04,9.413550896098255e-06,0.006613683242900425,0.018438804766495714
Original,FITB,0.04,9.21175157559431e-06,0.006471904991613888,0.01804353009131167
Original,HII,0.04,8.342646204669489e-06,0.005861297188942667,0.016341168842844013
Original,CHRW,0.04,7.66508651373057e-06,0.005385263732121939,0.015013997938180592
Minimum_TE,KEYS,0.1,3.0504478125743134e-05,0.029337532013987835,0.111965187787658
Minimum_TE,APH,0.09999999999999999,3.023982944089871e-05,0.029083007441166805,0.11099380779635908
Minimum_TE,CAT,0.1,2.734348781975404e-05,0.02629746511247938,0.10036292821953391
Minimum_TE,AES,0.08898409521040018,2.470245310902829e-05,0.023757462950941593,0.09066914011008964
Minimum_TE,CHRW,0.1,2.0066226219249002e-05,0.01929859451063132,0.07365209716313112
Minimum_TE,GLW,0.06472779209873537,1.975277729753078e-05,0.018997136549680407,0.07250159830072304
Minimum_TE,HII,0.1,1.938030772281404e-05,0.018638915765589462,0.07113446703211253
Minimum_TE,FITB,0.1,1.9235259207016773e-05,0.018499416067930558,0.07060207358343207
Minimum_TE,NEM,0.08159616760844096,1.5526542988841163e-05,0.014932576460545136,0.05698941297316146
Minimum_TE,AMD,0.02854592577371418,1.2276396702613363e-05,0.011806764232933756,0.04505991076123041
Minimum_TE,MPWR,0.026320913011598748,1.1847857385458436e-05,0.011394618649440713,0.043486978258603724
Minimum_TE,APP,0.020085296391279702,8.957231896879468e-06,0.008614573783173436,0.03287707946543595
Minimum_TE,INTC,0.022750953214653778,7.713669786755073e-06,0.0074185840315451924,0.02831264585631968
Minimum_TE,ALB,0.020534176598243616,7.613702841199925e-06,0.007322441312647481,0.02794572209563436
Minimum_TE,CEG,0.018469649659690675,6.881715426597581e-06,0.0066184560118266915,0.02525899826458514
Minimum_TE,GEV,0.012308971837804893,4.378460930140762e-06,0.004210963294651356,0.01607092566026947
Minimum_TE,LRCX,0.007909233291025832,3.2515543433049467e-06,0.0031271664195896202,0.011934670416232349
Minimum_TE,FCX,0.007766825304412085,2.774143193982134e-06,0.0026680185915442414,0.010182356255488181
Minimum_TE,SNDK,2.9932041355670843e-18,1.7100090925150694e-21,1.6445928459773962e-18,6.276504333980902e-18
Minimum_TE,STX,2.9156833119193795e-18,1.0638259247019063e-21,1.0231293580765715e-18,3.90472077383642e-18
Minimum_TE,CIEN,1.154005161523217e-18,4.609165370147663e-22,4.432842156717832e-19,1.6917714969115905e-18
Minimum_TE,WDC,0.0,0.0,0.0,0.0
Minimum_TE,TER,0.0,0.0,0.0,0.0
Minimum_TE,FIX,0.0,0.0,0.0,0.0
Minimum_TE,MU,0.0,0.0,0.0,0.0
MVO,SNDK,0.09999999999999508,0.00010628161907861211,0.07467033119455306,0.20817925627504424
MVO,MU,0.09999999999999797,7.20927730704857e-05,0.05065025625856527,0.14121181076022463
MVO,WDC,0.0999999999999988,7.153582805168828e-05,0.050258963113322536,0.1401208939977167
MVO,STX,0.09999999999999976,6.345261915303722e-05,0.04457993892447768,0.12428789830734872
MVO,FIX,0.09801113110268533,5.726933531638874e-05,0.04023574605316883,0.11217638324378094
MVO,GLW,0.09999999999999976,4.468819733168452e-05,0.03139660953768752,0.0875330632468192
MVO,FITB,0.09999999999999976,2.2411006165541482e-05,0.01574531200495149,0.04389758677337212
MVO,HII,0.09999999999999976,2.23244423154625e-05,0.01568449479675586,0.04372802972215315
MVO,CHRW,0.09999999999999976,2.1169878500660137e-05,0.01487333230992197,0.0414665263844043
MVO,NEM,0.084168973618843,2.10215696129854e-05,0.014769134859245412,0.04117602616242077
MVO,CIEN,0.008327272254925402,4.881436365743098e-06,0.0034295532312653997,0.00956151967747783
MVO,KEYS,0.009492623023547161,3.400638740395388e-06,0.0023891884901615225,0.006661005449229931
MVO,APH,3.013314910964401e-15,1.189383521924912e-18,8.356257861840327e-16,2.3297064832723126e-15
MVO,MPWR,1.4381237298891626e-15,8.37559843810186e-19,5.884448456351216e-16,1.6405714071901553e-15
MVO,CAT,1.9765945459164718e-15,6.851451964726312e-19,4.813628093031548e-16,1.3420290232555799e-15
MVO,CEG,1.1125744614716226e-15,5.450551983478766e-19,3.8293970803968516e-16,1.0676275616104343e-15
