Portfolio,horizon_days,confidence,threshold_return
Original,1,0.95,-0.033058934017539704
Original,1,0.99,-0.04857319930277542
Original,5,0.95,-0.06179865374977806
Original,5,0.99,-0.09648960554853028
Original,10,0.95,-0.0745493879492119
Original,10,0.99,-0.12360980247463861
Original,21,0.95,-0.0794837057087392
Original,21,0.99,-0.1505790007299575
Minimum_TE,1,0.95,-0.02430374603446427
Minimum_TE,1,0.99,-0.035705210353108946
Minimum_TE,5,0.95,-0.045459302561422554
Minimum_TE,5,0.99,-0.07095375182095037
Minimum_TE,10,0.95,-0.0548731917967504
Minimum_TE,10,0.99,-0.09092778770480733
Minimum_TE,21,0.95,-0.05859480036173903
Minimum_TE,21,0.99,-0.11084287363526635
MVO,1,0.95,-0.03294111850734462
MVO,1,0.99,-0.04892083146857941
MVO,5,0.95,-0.05810456417316136
MVO,5,0.99,-0.0938362886154168
MVO,10,0.95,-0.06568970887332197
MVO,10,0.99,-0.1162219981865378
MVO,21,0.95,-0.05856618142975824
MVO,21,0.99,-0.1317944256582836
