Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
Market,0.00020717254921543844,0.76041666019452
Sector_Basic_Materials,9.35892607148922e-06,0.03435147819168177
Sector_Communication_Services,-3.3515049408898646e-06,-0.012301534172496374
Sector_Consumer_Cyclical,-4.5434289745488255e-06,-0.01667643275975084
Sector_Consumer_Defensive,-4.552318569520257e-06,-0.016709061581205505
Sector_Energy,6.340912196941472e-06,0.023274006588444376
Sector_Financial_Services,-1.0464896736641586e-05,-0.03841088916409646
Sector_Healthcare,-8.76826745076851e-06,-0.03218349475283111
Sector_Industrials,2.540910278599032e-05,0.09326286302037838
Sector_Real_Estate,-4.411663085371197e-06,-0.01619279253928988
Sector_Technology,1.47695292719348e-05,0.054210831329447824
Sector_Utilities,4.965449749678017e-06,0.018225439274232286
Size,6.669050647589644e-06,0.024478422644858343
Nonlinear_Size,-5.336019920593428e-07,-0.001958559887453811
Momentum,2.4820409035201874e-06,0.00911020915400486
Residual_Volatility,3.1016056819665936e-06,0.01138429122416585
Liquidity,6.940420487811956e-08,0.0002547447230665395
Book_to_Price,6.839475799414862e-08,0.0002510395978891941
Earnings_Yield,-2.0838606113237712e-07,-0.0007648707960463947
Leverage,-2.7061632243185917e-09,-9.932839117781293e-06
Dividend_Yield,3.6556274937370032e-06,0.013417801056316807
