Ticker,Weight,Total Variance Contribution Daily,Total Risk Contribution Annual,Total Variance Contribution Pct
SNDK,0.04,3.7540811391475604e-05,0.026375066960927188,0.07353311196417543
MU,0.04,2.8921500565919992e-05,0.02031939336851531,0.05665002594399612
WDC,0.04,2.7245534159176164e-05,0.019141908797359494,0.05336722461745701
APP,0.04,2.688933079625667e-05,0.018891650819428778,0.052669510828204105
TER,0.04,2.58600454470956e-05,0.0181685052879449,0.05065339684404732
MPWR,0.04,2.5825866472404467e-05,0.018144492148305113,0.05058644873398717
AMD,0.04,2.5295944144525532e-05,0.017772184348770682,0.049548462701615836
CIEN,0.04,2.5176812292331028e-05,0.017688485822757394,0.04931511303491398
LRCX,0.04,2.4850897208420047e-05,0.017459507496421056,0.048676726450614376
STX,0.04,2.369432314269021e-05,0.01664693266657007,0.046411285531309014
FIX,0.04,2.3538449465037113e-05,0.016537420417549263,0.046105967767353186
CEG,0.04,2.2118232749553613e-05,0.015539618037113474,0.04332411647319721
GEV,0.04,2.100808006163136e-05,0.014759657498289011,0.04114960348659581
ALB,0.04,2.0735006210033878e-05,0.014567803863425986,0.040614719733162455
FCX,0.04,1.9994695247961685e-05,0.014047683214115881,0.03916463469651559
INTC,0.04,1.9846317086058114e-05,0.013943437093409106,0.03887399878354831
GLW,0.04,1.730133170789995e-05,0.012155405421330116,0.03388900544369238
APH,0.04,1.6866650738475886e-05,0.011850011391466294,0.033037573543085834
KEYS,0.04,1.560413662328092e-05,0.010963006207157885,0.030564622417419335
CAT,0.04,1.450149304969188e-05,0.01018832135061132,0.02840481791804955
AES,0.04,1.308084995252395e-05,0.009190219406978546,0.025622131448227985
NEM,0.04,9.413550896098255e-06,0.006613683242900425,0.018438804766495714
FITB,0.04,9.21175157559431e-06,0.006471904991613888,0.01804353009131167
HII,0.04,8.342646204669489e-06,0.005861297188942667,0.016341168842844013
CHRW,0.04,7.66508651373057e-06,0.005385263732121939,0.015013997938180592
